path,kind,qualname,name,action,simplifiable,lines,refs,dup_count,core_api,in_tests,reason,evidence
runner/_util.py,function,_is_truthy,_is_truthy,KEEP,否,7,14,1,False,False,规模≈7 行；引用次数≈14（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:9; kind=function; refs≈14; lines≈7
runner/_util.py,function,_parse_json_str_list,_parse_json_str_list,KEEP,否,21,11,1,False,False,规模≈21 行；引用次数≈11（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:18; kind=function; refs≈11; lines≈21
runner/_util.py,function,_read_json_object,_read_json_object,KEEP,否,12,11,1,False,False,规模≈12 行；引用次数≈11（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:41; kind=function; refs≈11; lines≈12
runner/_util.py,function,_find_hf_test_parquet,_find_hf_test_parquet,KEEP,否,22,7,1,False,False,规模≈22 行；引用次数≈7（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:56; kind=function; refs≈7; lines≈22
runner/_util.py,function,_ensure_openai_v1_base,_ensure_openai_v1_base,KEEP,否,9,8,1,False,False,规模≈9 行；引用次数≈8（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/_util.py:79; kind=function; refs≈8; lines≈9
runner/agent_client.py,class,AgentResult,AgentResult,KEEP,否,14,9,0,False,False,规模≈14 行；引用次数≈9（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/agent_client.py:14; kind=class; refs≈9; lines≈14
runner/agent_client.py,class,AgentClient,AgentClient,KEEP,否,36,6,0,False,False,规模≈36 行；引用次数≈6（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/agent_client.py:30; kind=class; refs≈6; lines≈36
runner/agent_client.py,method,AgentClient.run,run,KEEP,否,12,30,0,False,False,规模≈12 行；引用次数≈30（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/agent_client.py:41; kind=method; refs≈30; lines≈12
runner/agent_client.py,method,AgentClient.close,close,KEEP,否,12,10,0,False,False,规模≈12 行；引用次数≈10（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/agent_client.py:54; kind=method; refs≈10; lines≈12
runner/bootstrap.py,class,BootstrapSpec,BootstrapSpec,KEEP,否,32,5,0,False,False,规模≈32 行；引用次数≈5（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:23; kind=class; refs≈5; lines≈32
runner/bootstrap.py,method,BootstrapSpec.__post_init__,__post_init__,KEEP,是,14,0,0,False,False,规模≈14 行；引用次数≈0（静态近似，可能包含注释/字符串）；逻辑短且低复用，适合 inline/合并以减少符号面,runner/bootstrap.py:41; kind=method; refs≈0; lines≈14
runner/bootstrap.py,class,BootstrapLoadResult,BootstrapLoadResult,KEEP,否,18,4,0,False,False,规模≈18 行；引用次数≈4（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:54; kind=class; refs≈4; lines≈18
runner/bootstrap.py,method,BootstrapLoadResult.__post_init__,__post_init__,KEEP,是,7,0,0,False,False,规模≈7 行；引用次数≈0（静态近似，可能包含注释/字符串）；逻辑短且低复用，适合 inline/合并以减少符号面,runner/bootstrap.py:64; kind=method; refs≈0; lines≈7
runner/bootstrap.py,function,_expand_env_value,_expand_env_value,KEEP,否,43,3,1,False,False,规模≈43 行；引用次数≈3（静态近似，可能包含注释/字符串）；多点复用或涉及副作用/协议验收，过度简化会增加回归风险或降低可审计性,runner/bootstrap.py:83; kind=function; refs≈3; lines≈43
runner/bootstrap.py,function,_expand_env_value._brace,_brace,INLINE,是,11,3,0,False,False,规模≈11 行；引用次数≈3（静态近似，可能包含注释/字符串）；逻辑短且低复用，适合 inline/合并以减少符号面,runner/bootstrap.py:99; kind=function; refs≈3; lines≈11
runner/bootstrap.py,function,_expand_env_value._bare,_bare,INLINE,是,11,3,0,False,False,规模≈11 行；引用次数≈3（静态近似，可能包含注释/字符串）；逻辑短且低复用，适合 inline/合并以减少符号面,runner/bootstrap.py:111; kind=function; refs≈3; lines≈11
runner/bootstrap.py,function,_apply_env_mapping,_apply_env_mapping,INLINE,是,20,2,1,False,False,规模≈20 行；引用次数≈2（静态近似，可能包含注释/字符串）；逻辑短且低复用，适合 inline/合并以减少符号面,runner/bootstrap.py:128; kind=function; refs≈2; lines≈20
